"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2117","Menu","chromium","Tue Feb 10 12:46:28 UTC 2026","passed","Tue Feb 10 12:46:31 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","2081","Browser Windows : New Window Message","chromium","Tue Feb 10 12:42:16 UTC 2026","passed","Tue Feb 10 12:42:18 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","5223","Revert Droppable","chromium","Tue Feb 10 12:45:17 UTC 2026","passed","Tue Feb 10 12:45:22 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","7847","test","chromium","Tue Feb 10 12:46:13 UTC 2026","passed","Tue Feb 10 12:46:21 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","2435","Select Menu","chromium","Tue Feb 10 12:46:39 UTC 2026","passed","Tue Feb 10 12:46:41 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","4153","Simple Draggable","chromium","Tue Feb 10 12:43:55 UTC 2026","passed","Tue Feb 10 12:43:59 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","7098","Text Box Test","chromium","Tue Feb 10 12:43:29 UTC 2026","passed","Tue Feb 10 12:43:36 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","2547","Broken Link","chromium","Tue Feb 10 12:42:34 UTC 2026","passed","Tue Feb 10 12:42:36 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2786","Resizeable Free","chromium","Tue Feb 10 12:45:57 UTC 2026","passed","Tue Feb 10 12:46:00 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","2836","Sortable Grid","chromium","Tue Feb 10 12:46:03 UTC 2026","passed","Tue Feb 10 12:46:06 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2767","Multiple Color","chromium","Tue Feb 10 12:46:21 UTC 2026","passed","Tue Feb 10 12:46:24 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","2775","Selectable","chromium","Tue Feb 10 12:46:00 UTC 2026","passed","Tue Feb 10 12:46:03 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","2372","Test case","chromium","Tue Feb 10 12:46:26 UTC 2026","passed","Tue Feb 10 12:46:28 UTC 2026","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","2862","Student Registration Form","chromium","Tue Feb 10 12:43:52 UTC 2026","passed","Tue Feb 10 12:43:55 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","3489","Valid Link","chromium","Tue Feb 10 12:42:30 UTC 2026","passed","Tue Feb 10 12:42:34 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","6961","Timer Alert","chromium","Tue Feb 10 12:41:50 UTC 2026","passed","Tue Feb 10 12:41:57 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","7245","Browser Windows : New Tab","chromium","Tue Feb 10 12:42:06 UTC 2026","passed","Tue Feb 10 12:42:13 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7152","Confirm Alert","chromium","Tue Feb 10 12:41:57 UTC 2026","passed","Tue Feb 10 12:42:04 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","4151","Container Restricted Draggable","chromium","Tue Feb 10 12:44:08 UTC 2026","passed","Tue Feb 10 12:44:12 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","7190","Radio Button Test","chromium","Tue Feb 10 12:43:22 UTC 2026","passed","Tue Feb 10 12:43:29 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","2264","Frames","chromium","Tue Feb 10 12:42:18 UTC 2026","passed","Tue Feb 10 12:42:20 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","8488","Web Tables","chromium","Tue Feb 10 12:43:43 UTC 2026","passed","Tue Feb 10 12:43:52 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","9059","Axis Restricted Draggable","chromium","Tue Feb 10 12:43:59 UTC 2026","passed","Tue Feb 10 12:44:08 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2120","Prompt Box Alert","chromium","Tue Feb 10 12:42:04 UTC 2026","passed","Tue Feb 10 12:42:06 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","9204","Cursor Style Draggable","chromium","Tue Feb 10 12:44:12 UTC 2026","passed","Tue Feb 10 12:44:21 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2280","Simple Alert","chromium","Tue Feb 10 12:41:47 UTC 2026","passed","Tue Feb 10 12:41:49 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2056","Slider","chromium","Tue Feb 10 12:46:41 UTC 2026","passed","Tue Feb 10 12:46:43 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
"","3029","Expand checkbox tree","chromium","Tue Feb 10 12:42:39 UTC 2026","passed","Tue Feb 10 12:42:42 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","12283","Dynamic Properties Functionality","chromium","Tue Feb 10 12:42:42 UTC 2026","passed","Tue Feb 10 12:42:54 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","11273","Accept Droppable","chromium","Tue Feb 10 12:44:43 UTC 2026","passed","Tue Feb 10 12:44:54 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3036","Modal Dialogs","chromium","Tue Feb 10 12:42:20 UTC 2026","passed","Tue Feb 10 12:42:23 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","7157","Upload and Download Functionality","chromium","Tue Feb 10 12:43:36 UTC 2026","passed","Tue Feb 10 12:43:43 UTC 2026","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","2128","Valid Image - Broken Image Tests","chromium","Tue Feb 10 12:42:28 UTC 2026","passed","Tue Feb 10 12:42:30 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","10595","Links Functionality","chromium","Tue Feb 10 12:43:11 UTC 2026","passed","Tue Feb 10 12:43:21 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","2069","Nested Frames","chromium","Tue Feb 10 12:42:23 UTC 2026","passed","Tue Feb 10 12:42:25 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","7120","Tabs","chromium","Tue Feb 10 12:46:43 UTC 2026","passed","Tue Feb 10 12:46:50 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","2813","All Button Functionalities Combined","chromium","Tue Feb 10 12:42:36 UTC 2026","passed","Tue Feb 10 12:42:39 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","3058","Resizeable","chromium","Tue Feb 10 12:45:54 UTC 2026","passed","Tue Feb 10 12:45:57 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","7359","Sortable List","chromium","Tue Feb 10 12:46:06 UTC 2026","passed","Tue Feb 10 12:46:13 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2205","Browser Windows : New Window","chromium","Tue Feb 10 12:42:13 UTC 2026","passed","Tue Feb 10 12:42:16 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","2120","Single Color","chromium","Tue Feb 10 12:46:24 UTC 2026","passed","Tue Feb 10 12:46:26 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","10159","Tool Tips","chromium","Tue Feb 10 12:46:59 UTC 2026","passed","Tue Feb 10 12:47:09 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","8161","Test case","chromium","Tue Feb 10 12:46:31 UTC 2026","passed","Tue Feb 10 12:46:39 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","5630","Prevent Propogation Droppable","chromium","Tue Feb 10 12:45:11 UTC 2026","passed","Tue Feb 10 12:45:16 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","5503","Simple Droppable","chromium","Tue Feb 10 12:44:37 UTC 2026","passed","Tue Feb 10 12:44:43 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
